class,lower_whisker,q1,median,q3,upper_whisker,변수 종류
1,-24.378896848436035,2.3862825592748704,7.832957155975661,15.353404058534075,26.51632060404341,이슬점 온도
2,-23.34044575945637,3.0858686648576885,9.629848123008005,16.285885335075378,26.246209733119397,이슬점 온도
3,-24.13412786252606,3.385824257763561,11.006488276001917,18.635146625129824,27.02831142209871,이슬점 온도
4,-36.6383311309767,-2.3383677322423404,6.778481958081338,17.102324273593762,32.057387905016625,이슬점 온도
1,-3.552713678800501e-15,0.2364632490179452,0.494302355572924,0.9035872600465407,18.726738527239743,기온 - 이슬점 온도
2,-3.552713678800501e-15,0.2437588594411277,0.4955432933508179,1.0460457322124777,19.52793243899412,기온 - 이슬점 온도
3,-3.552713678800501e-15,0.32965379220189955,0.6251711470871397,1.2176425979901144,26.246540277353677,기온 - 이슬점 온도
4,-3.552713678800501e-15,2.611604312842472,5.695040320999851,9.76742728020746,44.93833113097671,기온 - 이슬점 온도
1,-3.763772240327528,0.9073306861511625,2.0401167601924715,3.2578550601854044,30.879218184182736,지면온도 - 이슬점 온도
2,-3.884366024243724,1.229715817624844,2.5594277100016054,3.6837470650424753,41.67076886876207,지면온도 - 이슬점 온도
3,-4.624487020406084,0.6171395448748256,1.8166667601297926,3.3110289048982704,51.57760017774454,지면온도 - 이슬점 온도
4,-27.271155228182625,2.908996206960957,6.272929071385052,12.977792032865267,65.16671549786817,지면온도 - 이슬점 온도
