Entity,Code,Year,Liver cancer,counts/(1000명)
China,CHN,2003,176241,176.241
Japan,JPN,2003,36647,36.647
India,IND,2003,18393,18.393
Thailand,THA,2003,12596,12.596
United States,USA,2003,12072,12.072
South Korea,KOR,2003,11883,11.883
Egypt,EGY,2003,7801,7.801
France,FRA,2003,6217,6.217
Italy,ITA,2003,6132,6.132
Germany,DEU,2003,5822,5.822
China,CHN,2002,209304,209.304
Japan,JPN,2002,36396,36.396
India,IND,2002,17974,17.974
Thailand,THA,2002,12058,12.058
South Korea,KOR,2002,11647,11.647
United States,USA,2002,11534,11.534
Egypt,EGY,2002,7267,7.267
Italy,ITA,2002,6485,6.485
France,FRA,2002,6142,6.142
Germany,DEU,2002,5567,5.567
China,CHN,2001,248727,248.727
Japan,JPN,2001,36487,36.487
India,IND,2001,17335,17.335
Thailand,THA,2001,11464,11.464
South Korea,KOR,2001,11100,11.1
United States,USA,2001,11034,11.034
Egypt,EGY,2001,6760,6.76
Italy,ITA,2001,6678,6.678
France,FRA,2001,6072,6.072
Germany,DEU,2001,5263,5.263
China,CHN,2000,278157,278.157
Japan,JPN,2000,36610,36.61
India,IND,2000,16653,16.653
Thailand,THA,2000,11623,11.623
United States,USA,2000,10611,10.611
South Korea,KOR,2000,10228,10.228
Italy,ITA,2000,6846,6.846
Egypt,EGY,2000,6156,6.156
France,FRA,2000,6046,6.046
Germany,DEU,2000,4974,4.974
China,CHN,1999,293251,293.251
Japan,JPN,1999,36364,36.364
India,IND,1999,16131,16.131
Thailand,THA,1999,11333,11.333
United States,USA,1999,10124,10.124
South Korea,KOR,1999,8683,8.683
Italy,ITA,1999,6915,6.915
France,FRA,1999,6121,6.121
Egypt,EGY,1999,6057,6.057
Germany,DEU,1999,4464,4.464
China,CHN,1998,296303,296.303
Japan,JPN,1998,35228,35.228
India,IND,1998,15941,15.941
Thailand,THA,1998,10471,10.471
United States,USA,1998,9614,9.614
South Korea,KOR,1998,6877,6.877
Italy,ITA,1998,6752,6.752
France,FRA,1998,5980,5.98
Egypt,EGY,1998,5902,5.902
Germany,DEU,1998,4131,4.131
China,CHN,1997,296720,296.72
Japan,JPN,1997,33379,33.379
India,IND,1997,15496,15.496
Thailand,THA,1997,9941,9.941
United States,USA,1997,9120,9.12
Italy,ITA,1997,6750,6.75
Egypt,EGY,1997,5792,5.792
France,FRA,1997,5773,5.773
South Korea,KOR,1997,4999,4.999
Germany,DEU,1997,3908,3.908
China,CHN,1996,295270,295.27
Japan,JPN,1996,31603,31.603
