Variable,SHAP
강수량,0.07064408491558423
지면온도,0.11148496755445357
기온,0.1518466916094543
시간의 cos주기,0.1658578005682178
10분 평균 풍속(m/s),0.1700863642055137
달의 cos주기,0.17177743821566108
AWS 안개 생성 지표,0.18580551044461707
이슬점 온도,0.19305915988339617
풍향의 cos주기,0.2035647496150961
시간의 sin주기,0.28010698933748385
습도(100%),0.28604855382960986
풍향의 sig주기,0.3012602482232438
달의 sin주기,0.320095231814106
지면온도와 이슬점 차이,0.3237272079546383
10분 평균 일조량,0.3521521932926774
기온과 이슬점 차이,0.5891768262595467
지형종류,0.6917138892403053
